id,food,category,kcal,protein_g,fat_g,fiber_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitC_mg,gi,contains_gluten,contains_peanut,contains_shellfish,contains_milk,contains_lactose,vegan,vegetarian,carbs_g
164,abacaxi_cru,frutas_e_derivados,48.0,0.9,0.1,1.0,0.0,131.0,22.0,0.3,34.6,59.0,False,False,False,False,False,True,True,12.3
256,uva_italia_crua,frutas_e_derivados,53.0,0.7,0.2,0.9,0.0,162.0,7.0,0.1,3.3,59.0,False,False,False,False,False,True,True,13.6
257,uva_rubi_crua,frutas_e_derivados,49.0,0.6,0.2,0.9,8.0,159.0,8.0,0.2,1.9,59.0,False,False,False,False,False,True,True,12.7
225,mamao_formosa_cru,frutas_e_derivados,45.0,0.8,0.1,1.8,3.0,222.0,25.0,0.2,78.5,60.0,False,False,False,False,False,True,True,11.6
226,mamao_papaia_cru,frutas_e_derivados,40.0,0.5,0.1,1.0,2.0,126.0,22.0,0.2,82.2,60.0,False,False,False,False,False,True,True,10.4
236,melao_cru,frutas_e_derivados,29.0,0.7,0.0,0.3,11.0,216.0,3.0,0.2,8.7,65.0,False,False,False,False,False,True,True,7.5
235,melancia_crua,frutas_e_derivados,33.0,0.9,0.0,0.1,0.0,104.0,8.0,0.2,6.1,76.0,False,False,False,False,False,True,True,8.1
163,abacate_cru,frutas_e_derivados,96.0,1.2,8.4,6.3,0.0,206.0,8.0,0.2,8.7,,False,False,False,False,False,True,True,6.0
172,ameixa_crua,frutas_e_derivados,53.0,0.8,0.0,2.4,0.0,134.0,6.0,0.1,7.6,,False,False,False,False,False,True,True,13.9
186,caju_cru,frutas_e_derivados,43.0,1.0,0.3,1.7,3.0,124.0,1.0,0.2,219.3,,False,False,False,False,False,True,True,10.3
190,carambola_crua,frutas_e_derivados,46.0,0.9,0.2,2.0,4.0,133.0,5.0,0.2,60.9,,False,False,False,False,False,True,True,11.5
191,ciriguela_crua,frutas_e_derivados,76.0,1.4,0.4,3.9,2.0,248.0,27.0,0.4,27.0,,False,False,False,False,False,True,True,18.9
201,graviola_crua,frutas_e_derivados,62.0,0.8,0.2,1.9,4.0,250.0,40.0,0.2,19.1,,False,False,False,False,False,True,True,15.8
203,jabuticaba_crua,frutas_e_derivados,58.0,0.6,0.1,2.3,0.0,130.0,8.0,0.1,16.2,,False,False,False,False,False,True,True,15.3
204,jaca_crua,frutas_e_derivados,88.0,1.4,0.3,2.4,2.0,234.0,11.0,0.4,14.8,,False,False,False,False,False,True,True,22.5
237,mexerica_murcote_crua,frutas_e_derivados,58.0,0.9,0.1,3.1,1.0,159.0,33.0,0.1,21.8,,False,False,False,False,False,True,True,14.9
238,mexerica_rio_crua,frutas_e_derivados,37.0,0.7,0.1,2.7,2.0,125.0,17.0,0.1,112.0,,False,False,False,False,False,True,True,9.3
246,pinha_crua,frutas_e_derivados,88.0,1.5,0.3,3.4,1.0,283.0,21.0,0.2,35.9,,False,False,False,False,False,True,True,22.4
251,tangerina_ponca_crua,frutas_e_derivados,38.0,0.8,0.1,0.9,0.0,131.0,13.0,0.1,48.8,,False,False,False,False,False,True,True,9.6
488,ovo_de_galinha_inteiro_cozido_10minutos,ovos_e_derivados,146.0,13.3,9.5,,146.0,139.0,49.0,1.5,,,False,False,False,False,False,False,True,0.6
490,ovo_de_galinha_inteiro_frito,ovos_e_derivados,240.0,15.6,18.6,,166.0,184.0,73.0,2.1,0.0,,False,False,False,False,False,False,True,1.2
451,iogurte_sabor_morango,leite_e_derivados,70.0,2.7,2.3,0.2,38.0,52.0,101.0,0.0,0.0,41.0,False,False,False,True,True,False,True,9.7
446,bebida_lactea_pessego,leite_e_derivados,55.0,2.1,1.9,0.3,46.0,62.0,89.0,0.0,2.1,42.0,False,False,False,True,True,False,True,7.6
